angle,Los Angeles Angels,Houston Astros,Oakland Athletics,Toronto Blue Jays,Cleveland,New York Yankees,Boston Red Sox,Chicago Cubs
135,5,21,8,10,19,8,37,16
127,5,,,,,,,
127,8,,,,,,,
123,,,,,,,,16
122,,,8,,,,,
122,,,15,,,,,
120,8,21,15,10,19,8,37,11
116,,21,,,,,,
112,,26,,,,,,
105,8,26,15,10,19,8,,11
103.5,,,,,,,,
103.5,,,,,,,,
101,,26,15,,,,,
101,,9,8,,,,,
97,,,,,,,37,
97,,,,,,,18,
94.5,,,,,19,,,
94.5,,,,,9,,,
90,8,9,8,10,9,8,18,11
83.5,,,,,,,18,
83.5,,,,,,,5,
82,8,,,,,,,
82,18,,,,,,,
79,,,15,,,,,
79,,,15,,,,,
75,18,9,15,10,9,8,5,11
65,,9,,,,,,
65,,7,,,,,,
60,18,7,15,10,9,8,5,11
59,,,15,,,,,
59,,,8,,,,,
58,,,,,,,,11
57,,,,,,,5,
55,,,,,,,3,16
55,18,,,,,,,
55,8,,,,,,,
52,8,,,,,,,
52,6,,,,,,,
51.5,,,,,,,3,
50,,,,,,,5,
47,,,,,9,,,
47,,,,,14,,,
45,6,7,8,10,14,8,5,16
